Airline Name,Overall_Rating,Review_Title,Review Date,Verified,Review,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Wifi & Connectivity,Value For Money,Recommended
Air France,1,"""There is absolutely nothing to complain about""",16th July 2023,TRUE," This was my first time flying on Air France business class product and it was nothing short of spectacular. The airplane has been in service for 21 years but extremely well-kept. The business class used on this particular aircraft was the extra legroom seats section in the very front of the aircraft, so the row had three seats, but the middle seat was not sold so it was the aisle seat and I had the window seat. The flight lasted under two hours however, the proper business cabin service was still offered. A cold towel pre-flight, and a full gourmet meal as soon as we reached cruising altitude. There is absolutely nothing to complain about, we left on time and arrived on time. Great job Air France! Merci!",A321,Business,Business Class,Barcelona to Paris,July 2023,4,5,5,4,,,5,yes
Air France,1,"""business class service was nothing short of stellar""",16th July 2023,TRUE," I am extremely impressed with the business class product on this international flight. The airplane has been in service for 24 years, but extremely well-kept. We had an hour delay due to a technical issue with one of the navigation instruments however Air France allowed us to stay in the terminal and not on the plane, something that I extremely appreciate. I was very disappointed, however, with fellow business class passengers for giving the crew a hard time because we were late due to the fact that they were trying to fix one of the navigational instruments. Really? You get upset because the delay is a safety issue that they are trying to fix before we take off on a 9 hour flight? Thank you Air France for ensuring that safety came first. I would have gladly waited as long as I had to! Once up in the air, the business class service was nothing short of stellar, the meals were all gourmet by a three star, Michelin Chef, the in-flight crew was warm, welcoming, personable, and genuine. I have to say that after this experience, the business class product on Air France for me, comes in at number 2. Qatar obviously still holds the 1st place for me. This airplane had been upgraded to the new business class configurations 1-2-1. I had a window seat (7A) and even though overall, I am not a big fan of the new “business class pods” industry wide, the seat was very comfortable with plenty of storage, and the entertainment options were very good. Amenity kit, headphones, a very nice pillow and duvet were also offered in business class. One thing I loved about Air France is that they give you free Wi-Fi to send text messages via ‎WhatsApp, Messenger, iMessage, and a few other messaging platforms, so you really do not need to purchase an Internet package unless you want to stream. The Internet on this flight worked from gate to gate without interruption of service. Overall, next time I go to Europe, I will most definitely have Air France on my top list. They are offering a business class product that the rest of their competitors in this market are not. Merci Air France for a safe and wonderful experience onboard! I'm a fan!",Boeing 777-200,Business,Business Class,"Paris to Newark, New Jersey",July 2023,4,5,5,4,5,5,5,yes
Air France,1,"""unresponsive customer service""",16th July 2023,TRUE," Air France is a terrible airline with deceptive advertising and unresponsive customer service. We remain without fair compensation ($100 offered off a future flight). They made a significant change to my flight itinerary that I deem as an unfair or deceptive practice. The departing inflight entertainment service did not work for all three passengers. We were not informed until the flight was in the air, or we would have re-booked with a proper flight. Furthermore, I purchased these tickets with the promise that we would be served the menu prepared by Chef Mashama Bailey (our co-chef through the James Beard Foundation), but I received horrid food that was still frozen, not her menu or as advertised. Additionally, the staff lied numerous times when questioned if the food was vegetarian, they said yes – only to come back and inform me that they served eggs with chicken. We are strict vegetarians, which caused harm. On the return flight from Paris to JFK, again, I purchased the beauty of an Air France flight with all of its luxury and had a significant change of my flight itinerary that I deem unfair or deceptive practice to a Delta Flight. This flight lacked the services, food by Chef Mashama Bailey (or the Delta Business Class menu – we were served the economy class menu), wine, airplane, and staff that was purchased. The food, wine, flight accommodations, and staff were significant changes to the flight itinerary. This was terrible! This was my elderly mother’s last international flight, and your team should be ashamed for their lack of service, deceptive and unfair practices, while not fulfilling services purchased on this flight.",,Family Leisure,Business Class,New York JFK to Paris,December 2022,4,2,1,2,1,1,1,no
Air France,1,"""Air France did not meet my expectations""",9th July 2023,TRUE," I would like to express my dissatisfaction with my recent flight experience with Air France. Unfortunately, my trip was marked by a significant delay, inadequate accommodations, and disproportionate treatment regarding the weight of my carry-on baggage. First and foremost, my flight experienced a 2-hour delay, which resulted in a missed connecting flight at CDG to AJA and disrupted my plans. The lack of effective communication and frequent updates on the flight status only exacerbated my frustration and discomfort throughout the waiting period. Furthermore, the accommodations provided by Air France were extremely disappointing. The hotel where I was accommodated was of inferior quality, with poor conditions and lack of air conditioning. The unbearable heat made my stay even more unsatisfactory and affected my rest before continuing with the journey. Lastly, I would like to mention the excessively strict attitude regarding the weight of my carry-on baggage. I was surprised by a severe reprimand from the airline staff due to just 700 grams over the limit in my carry-on bag, even though it was the same bag I boarded with in MUC. This disproportionate approach and disrespectful treatment left me extremely disappointed with the service provided. As a customer, I expected a comfortable and professional flight experience, but unfortunately, Air France did not meet my expectations. I request that you review your customer service policies with the aim of preventing other passengers from going through similar experiences in the future. As a result of this negative experience, I categorically state that I do not intend to fly with Air France again. I hope that this situation will be treated seriously, and appropriate measures will be taken to remedy the situation.",,Business,Premium Economy,Munich to Ajaccio via Paris,July 2023,1,1,1,1,1,1,1,no
Air France,1,"""2 kilos over the 12 kilo limit""",7th July 2023,TRUE,"  Definitely worst experience checking in and on boarding. I came 2 hours before the flight, they had a very long line to check in. I went to the security, and after waiting a very long time to pass, they stopped me and measured my carry on, claiming it was 2 kilos over the 12 kilo limit. They sent me back to check in my carry on bag. I went back to check in and they just closed the check in saying I cant check in the luggage. They advised me to wear as much clothes as possible and try again... Horrible experience, never again Air France.",,Business,Economy Class,Paris to Tel Aviv,July 2023,1,2,2,1,2,,1,no
Air France,1,"""No one answers or emails you""",4th July 2023,TRUE,"  Forced my to pay for my small hard shell bag and never made it. No one answers or emails you, had to spend days trying get my bag with all of clothes. Air France could care less and not following up on thousands of lost bags. They should have company taking these to travelers. ",,Solo Leisure,Economy Class,Paris to Florence,June 2023,1,2,2,1,,,1,no
Air France,1,"""utter disregard for passengers""",3rd July 2023,FALSE,"  I have flown with Air France regularly because it is the only direct flight from South Africa to France where I study. I have always been surprised by how poor the food and service are on the route I take, but my last trip took Air France's utter disregard for passengers to a new level. After the plane was in Johannesburg for a whole day (available to be inspected and to make sure that everything on the plane was working) the flight got cancelled when we were already all boarded and ready to go when the pilot announced an issue with the air conditioning system. Even though I believe this was ridiculous already given all the time they had to check the plane, the worst was yet to come. The pilot gave a very unsympathetic announcement after we were sitting on the plane for two hours already that the flight is cancelled. Nothing else. The cabin crew advised us that the ground crew will assist us. Except that there were no ground crew when we got off the plane. One lady behind an obscure desk had no idea what was going on and a gent with her merely said to all the passengers that they should sort themselves out with accommodation, food and travel to the accommodation and then claim back. If all of this was already ridiculous, the worse was yet to come: trying to process a claim is a nightmare! Air France booked me on another flight 3 days later - without any correspondence with me. If I had taken this flight I would not have been able to graduate this year as I would've missed a key class in my studies. I urgently had to book another flight via Kenya to get to France in time for my classes. The whole process was so badly done that it proofed impossible to cancel the substitute flight without cancelling my return flight as well. There was no way of contacting anybody at Air France to assist in cancelling the replacement flight, but not cancel the return flight. No way to phone or e-mail. Air France doesn't even have an office area in Johannesburg where one can ask for assistance. The website is terrible and the AI used clearly doesn't cope with anything that is not stock standard. I am still struggling to try and process my claim. I have still not managed to connect with anybody at Air France that can assist to sort out the cancelling of the replacement flight. They claim you can connect with them on Messenger or Twitter, but don't be fooled, the AI chat bot doesn't work well and the supposed operators don't contact you as promised by the chat bot. Even the African Airlines are better than Air France. The customer service on Air France is terrible and it is clear they have no intent of actually providing a decent customer experience. Not on the plane, on the ground, on their website or in Charles de Gaulle airport. I would strongly advise passengers to look for alternatives and only take Air France if that is your only option.",,Solo Leisure,Economy Class,Johannesburg to Paris,July 2023,3,2,1,1,,,1,no
Air France,8,"""value for money was very high""",28th June 2023,FALSE,"  Flight was on time, crew was very welcoming, no delays, meals were top notch, value for money was very high, inflight entertainment was good too. The only problems were there was no wifi onboard, the check-in line was way too slow, and legroom was kind of tight. Even though that happened we will still fly with Air France again!",,Couple Leisure,Economy Class,New Delhi to Los Angeles via Paris,December 2022,2,5,5,2,5,1,5,yes
Air France,3,"""One of my worst experiences to date""",26th June 2023,FALSE,"  One of my worst experiences to date. Do not take this airline. I went to the airport to check in just to be told that the plane had some issues and they had changed the plane to a smaller one, which meant I was on standby with a low probability to leave. After a two hour discussion with the staff, I was rerouted to Dakar, a flight supposed to take off 3 hours after my original flight, which was also delayed by one hour.",,Business,Economy Class,Paris to Nouakchott,June 2023,1,1,1,1,1,1,1,no
Air France,1,"""the worst airline experience we have had""",26th June 2023,TRUE," Absolutely terrible experience with this airline. I flew to Paris with my friend at the end of May and at the airport was informed that even though we paid and did everything correctly with the booking, for some reason tickets were not issued. They let us stay at the airport handing us a paper with contact for AF customer service, where after a longer wait they said they don’t know how to deal with the problem so they have to think about it - I guess not realizing we are under a time pressure and could miss the flight - already in pressure and missed the time we wanted to stay at the airport lounge. After some time, they came up with a solution - to pay for the tickets again, yes, double charge us (in fact it was a triple charge) and said the previous hold would be released within 3 days, which did not happen within the period of time, but in the end it did. They also did not disrespect our selected seat we had chosen in the booking and wanted us to sit separately and also let us wait the line at the counter again, even though we had already waited before and was denied because of the technical issue on their side. After this horrible experience I contacted the airline explaining what a terrible experience we had with them, however we were not asking for any compensation or refund. They replied in quite a long time saying they issued a refund. I was surprised that they actually acknowledged how much they failed, but it was sadly not the thing - for some reason they thought I was asking for a refund because of the previous hold payment, which I was not. That means they did not even read my complaint properly and after another week I received an email my refund was denied. So not even the customer service employees care about the complaints, they probably don’t even read it. This is the worst airline experience we have had so far and we have flown hundreds of flights combined. Thankfully there is a great competition in the European and world airlines market and it’s easy to avoid flying with this terrible airline, which also means avoiding their sister KLM (and whole skyteam) which have allied with this terrible company. Sorry not sorry!",A320,Couple Leisure,Economy Class,Prague to Paris,May 2023,1,1,1,1,1,1,1,no
Air France,4,"""pay 60 euros for hold baggage""",22nd June 2023,FALSE,"  The policy ""handbag + accessory less than 12 kg"" can be accepted as legitimate, but what happened because of its infraction was too harsh. If you go over even 2kg, as in my case, you cannot pay for extra weight. You have to pay 60 euros for hold baggage, and that means that you have to use the machine and then hold the line to load the hold baggage. (Ironically, since my bag was 10kg, less than 12kg, they asked me if I wanted to carry it to the check in). The line got very long, between the weighting line, the hold line, and the check in line, and I almost lost the boarding time. They could just let me pay for my 2 kg extra on the place, and it would have been a normal process. Next time I will try to avoid Air France.",,Business,Economy Class,Paris to Rome,June 2023,3,4,,2,,,1,no
Air France,1,"""full of attitude and are so unhelpful""",20th June 2023,FALSE,"  This airline is a joke. They cancelled my flight and didn’t give any notice until hours before. They put me and my boyfriend on different flights home despite me being a young girl who is scared to travel alone. They are all full of attitude and are so unhelpful. I have never met such lifeless and cruel humans in my life before coming across their employees. When I explained to them that the flight they put me on would cause me to miss my university graduation, they laughed. Their chat is even more of a joke. They don’t even read what you say. Don’t fly with this airline unless you want to be treated without any respect. Their food also smells as bad as their employees.",,Couple Leisure,Economy Class,Naples to Paris,June 2023,2,1,1,1,1,1,1,no
Air France,2,"""So much for Premium Economy""",19th June 2023,TRUE,"  First a comment about Premium Economy on Air France. It's a joke. I could have been just a uncomfortable in Economy for several hundred dollars less. Food service was indistinguishable from economy. The seat was a bit wider but only reclined two inches. The space under the seat in front of me where I would have liked to stretch my knee-replacement legs was bisected by the legs supporting the seat. The foot rest and leg support were no help. Cabin service first round was a 6 ounce cup of Coke with no ice. Next cabin service came seven hours later. Same thing. So much for Premium Economy. The real treat came when we arrived on Monday May 29 in Naples, Italy. Our baggage failed to make the trip. So we stood at the baggage claim office in line for an hour to get what is called a ""Property Irregularity Report."" Meanwhile the driver who came to pick us up to drive us to Sorrento more than an hour away gave up on us and left. It took an international phone call to get him to return. We stayed in Sorrento until the morning of June 2 when we left for Rome. Our baggage finally arrived at the hotel 5 PM the night before we left. Four days without baggage. Air France did send an email with an apology for the inconvenience and admitted they were at fault for taking so long to return the bags. However the was no mention of anything that they would do to compensate for our ""inconvenience."" Be careful when booking with Delta for international travel as they are cross listed with AF for many flights.",Boeing 777 300,Couple Leisure,Premium Economy,New York to Naples via Paris,May 2023,1,1,1,1,,,1,no
Air France,1,"""messenger system which is a joke""",6th June 2023,TRUE," This review pertains to their customer service when something goes wrong. They cancelled one of my flights. I had to scramble and take a train because I had all my vacation plans settled. I immediately filled out their forms while still in France. I spent two weeks of long hold times trying to get them on the phone. When I did, they made me fill out another form. I followed up using their messenger system which is a joke. It takes them 2 or 3 days to respond so the back and for of explanations takes forever. Messenger said it was refunded but couldn't tell a date or amount. I called again and they said it would take at least until July. This is absolutely ridiculous!",,Solo Leisure,Economy Class,Strasbourg to Lyon,May 2023,1,4,2,4,3,,4,no
Air France,2,"""service and aircraft are not up to the standards""",6th June 2023,TRUE," Would definitely never fly again with Air France or Delta. 1) I got my ticket from Delta and upgraded later to Premium Economy. The email I got from Delta says that my second checked luggage is free from JFK to IST (see attached photo). Air France ground crew at JFK said that it is free only for JFK to CDG and that I had to pay for CDG to IST although my bags were going directly to IST after checking in. Delta should have informed better as their email was grossly misleading. 2) My Premium Economy seat footrest was broken. It was basically not there so probably people who sat at this seat put their feet on the back pocket of the seat in-front of me so that was also broken (see attached photo). For an upgraded seat that I paid extra for it was uncomfortable and not worth it. A cabin crew member came later and told me they will send me a discount coupon of 45 euros on my next flight ticket with Air France and that is the only thing that they can do. 3) On both ways in CDG transfer while going to the US and coming back from the US and flying to IST there is a security control with long lines. Getting just out of one flight trying to catch another and you are again stuck with a security control. Overall I am very unhappy with my choices and would probably never fly again with Air France or Delta. And probably direct flight from Turkey to US would be better because the CDG is also not very entertaining and has very little options due to terminals/gates in terms of services, shops, food and lounges. These tickets are not cheap even if they are not upgraded and still the service and aircraft are not up to the standards. And when you upgrade and pay extra hoping that you will get some rest and sleep the seats don’t function as per my case.",Boeing 777-300ER,Solo Leisure,Premium Economy,New York JFK to Istanbul via Paris CDG,June 2023,1,2,1,1,2,2,1,no
Air France,5,"""Air France is reborn in quality""",30th May 2023,TRUE,"  After years of improvement, Air France is reborn in quality. Very poor food. Seat pitch on long haul is very poor but very good entertainment service, and very good lounge for those who have access. I was a great defender of Air France for years, I am much less. Après des années d’amélioration, Air France renaisse en qualité Nourriture très insuffisante Personnel autain Le pitch des sièges sur le long courrier est très insuffisant Mais très bon service de divertissement et très bon lounge pour ceux qui y ont accès J’étais un grand défenseur d’Air France depuis des années, je le suis beaucoup moins",Boeing 777-300,Couple Leisure,Economy Class,Montreal to Geneve via Paris,May 2023,2,1,1,4,5,,3,no
Air France,5,"""Personnel attitude make the difference""",22nd May 2023,TRUE,"  Personnel attitude make the difference. On the way to Paris (see previous review) , everything went smoothly. Not on the way back. One of the rudest boarding I faced. Unpolite staff. No smile, no education. It seemed that we were bothering the two ladies. We entered the aircraft at a high level of stress. Turbulences and stress cockpit did not help then.",A319,Couple Leisure,Economy Class,Paris Orly to Marseille,May 2023,3,3,4,1,,5,5,yes
Air France,9,"""Perfect option for the route""",22nd May 2023,TRUE,"  Very quick check-in, boarding, flight and luggage delivery. Free coffee and soft drinks as well as a nice madeleine. Smiling employees everywhere. Perfect option for the route",A320,Couple Leisure,Economy Class,Marseilles to Paris Orly,May 2023,3,4,3,4,,4,5,yes
Air France,1,"""very happy with my overall experience"" ",19th May 2023,TRUE,"  I was very happy with my overall experience. Staff was super helpful at the airport, not to mention the friendliness of the crew and captains onboard. On most airlines, the crew are either super salty or sickly sweet, and I would say this one was friendly and professional with authenticity. Flight was on time, arrived at CDG early, and all of our baggage made it to our final destination. I've flown with most airlines at this point, as I'm American and have to fly back home often to see family. I've had so many bad experiences with things not working properly, rude staff, unwillingness to help, unexplained cancellations, lost baggage, etc. This is one of the best flights I've been on. Spend a little extra to have the AF / Delta experience.",Airbus A350,Couple Leisure,Economy Class,Boston to Paris,May 2023,3,5,3,5,5,5,5,yes
Air France,2,"""the final straw""",17th May 2023,TRUE," I had a tight connection in Paris and knowing AF's tendency to lose luggage, I took a normal carry on bag. The guy weighing the bag was a real jerk and forced me to go check the bag. One would think that a simple one way flight without any connection would be easy enough, but apparently not. They are still searching for my bag; the problem is probably further compounded by the fact that the gate agent put somebody else's name on it. I am never flying Air France again - this was the final straw after many bad experiences and screw ups",,Solo Leisure,Economy Class,Paris to Vienna,May 2023,2,3,2,1,2,,2,no
Air France,1,"""I never received a call back""",17th May 2023,TRUE,"  Problems encountered during my trip on flight AF655 on April 14th from Dubai to Paris. Due to the health issues of the captain we had to make an emergency landing in Vienna, where we were disembarked by bus at Terminal 3 around 4 am. Upon arriving at the terminal an airport employee told us to go to the Air France counter at Terminal 1. At the counter, the hostess told us to go back to Terminal 3, where an Air France hostess would assist us. So we returned to Terminal 3 (after spending over an hour queuing at security) to once again find no Air France representative. I called Air France customer service multiple times, asking to be transferred to another flight (there were over 6 Vienna-Paris flights in the morning, including 3 Air France flights with available seats, as I checked on the internet). After being told that a seat was being reserved for me on the 10:05 a.m. flight, I was later informed that it was no longer possible but that I would be called back. I never received a call back, and despite my reminders, no solution or alternative was ever offered to me, nor was I kept informed. I spent over 10 hours in Terminal 3 during which time I was never contacted or met with an Air France representative, and I was never kept informed about the progress in resolving the issue. Five days later, I received a generic letter from Air France with vague apologies, congratulating themselves for doing their best to resolve the problem and minimize its impact on passengers. ",,Business,Business Class,Dubai to Paris,May 2023,4,4,4,1,4,2,1,no
Air France,1,"""Our luggage is still missing""",16th May 2023,TRUE,We traveled with Air France and had nothing but issues. We had a cracked screen in row 12L. The USB port was damaged and the Wi-Fi for the flight did not work. We landed in Boston on the evening of 15th May and waited for baggage claim only to not see our luggage. Staff told us to scan a QR code and fill it out. This is not customer service nor what they get paid to do.  Our luggage is still missing.,AF322,Couple Leisure,Premium Economy,Paris to Bostobn,May 2023,2,2,2,1,,,1,no
Air France,1,"""suitcases have still not arrived""",11th May 2023,TRUE,We flew Air France to San Jose via Paris for a 2 week holiday returning on May 5th The in flight service was terrible with poor food and the crew did not come round to offer soft drinks or water. On our return flight the pilot announced that the plane was “too heavy” to take off so he offloaded all the luggage and told us that representatives would be available to help us in Paris. We arrived 4 hours late and so missed a connecting flight to Manchester. They knew nothing about the luggage and accused me of lying when I said that our bags had been offloaded. 5 days later our suitcases have still not arrived and Air France seem reluctant to process my claim. They are difficult to contact and have now asked me to list every item in my suitcase (who knows that?).,,Couple Leisure,Premium Economy,San Jose to Manchester via CDG,May 2023,2,1,1,1,1,2,1,no
Air France,1,"""couldn't connect me with a supervisor""",9th May 2023,TRUE," I was not able to take this flight. I canceled and they told me because my flight was non-refundable that they would give me a credit. What they FAILED to mention was that if I accepted the taxes back from the flight, it would WIPE OUT THE CREDIT! So I lost $1800.00USD. I called and spoke to their customer service department. I was disconnected several times, dealt with people whom couldn't connect me with a supervisor, and in one instance dealt with an EXTREMELY RUDE individual who told me to go to the website and complain. I will NEVER FLY with this company EVER!!!",,Solo Leisure,Premium Economy,Atlanta to Male via Paris,May 2023,1,1,,1,,,1,no
Air France,7,"""definitely fly again with them""",7th May 2023,FALSE,"  Will definitely fly again with them. Very professional cabin crew, very comfortable seats, clean aircraft / bathrooms, wifi poor. Very delicious meal had gluten-free chips which was impressive, ground service was poor. Very excellent value for money, very good entertainment system.",,Solo Leisure,Economy Class,Delhi to Los Angeles via Paris,December 2022,5,5,5,1,5,1,5,yes
Air France,2,"""seats are not comfortable""",6th May 2023,TRUE,"  All crew members were nice, good flight, no complaint there. The seats are not comfortable. The entertainment system is very poor in terms of choices and quality. Almost 1/4 of the headphones in our sector were broken. The table tray unstable. According to the wine list, we were supposed to have an aperitif. Forget it, the seat belt was on until they came with the meal. The dish labelled ""beef"" contained a sort of strong turkey, the potatoes not cooked enough. My wife choose vegetarian gratin - what you see is what you get. And you are supposed to cut these using wood cutlery.  For breakfast, too much sugar and a wrap with mashed meat including peppers. Nice with a coffee. You will not see me again, well done.",Boeing 777-300,Couple Leisure,Premium Economy,Cancun to Paris,May 2023,2,5,1,5,2,,3,no
Air France,2,"""did absolutely not get what we paid for""",2nd May 2023,FALSE,"  We booked business class with 1x2x1 seat configuration with flatbed in a B777 from Paris to Johannesburg and back. On the outbound flight, AF changed the plane (B777 with other cabin configuration) 10 hours before departure and we were downgraded to premium Economy, because there were not enough seats in the business. On the return flight the plane also was changed (B777 with other cabin configuration) and we flew in a very old and narrow business class with 2x3x2 configuration and no flatbed. This is not fair business. We did absolutely not get what we paid for. ",Boeing 777,Couple Leisure,Business Class,Paris to Johannesburg,April 2023,1,4,3,4,3,4,1,no
Air France,8,"""Service was exceptional""",20th April 2023,TRUE,"  Full flight, delayed departure due to strike, arrived almost on time though. Seat was a bit small due to 2-2-2 arrangement which is a little bit inappropriate for this type of aircraft. Service was exceptional, the attitude of the cabin crew seems to be the strength of Air France. Food was excellent, signature of known chefs.",A330-200,Couple Leisure,Business Class,Paris to St Martin,April 2023,3,5,4,4,5,,4,yes
Air France,8,"""very professional cabin crew""",19th April 2023,TRUE,"  Flight on time, last minute gate change to one at the periphery of Budapest airport. Lounge too small for so many customers, not comfortable. The service in the airplane itself was excellent, very professional cabin crew, customer-orientated, food was delicious. Seat was uncomfortable though (normal Economy with empty middle seat). Mixed experience overall.",A318,Couple Leisure,Business Class,Budapest to Paris,April 2023,1,5,5,2,,,4,yes
Air France,1,"""Punctual, good service""",11th April 2023,TRUE,"  Punctual, good service with a cookie and drinks on this short 55 min flight. Flying on the 70 seater E170 made this flight less stressful, recommended",Embraer 170,Solo Leisure,Economy Class,Dusseldorf to Paris,April 2023,4,5,4,5,,,4,yes
Air France,1,"""most disgusting service""",10th April 2023,TRUE," The most disgusting service I have ever taken. They charged $150 for 3 kgs extra without allowing me to change the staff to my cabin one. I asked for a refund hoping there will be some understandable humans behind the desk but they refused even that. A total disgrace and disappointment. Please people if you ever can avoid. They are over priced, no empathy, not understandable, scammers. Just avoid please.",Boeing 777-200,Couple Leisure,Economy Class,Lima to London via Paris,February 2023,1,1,1,1,1,1,1,no
Air France,9,"""Service was impeccable""",1st April 2023,TRUE,"  My first long haul flight since COVID. It was a pleasure to travel business class with Air France. The cabin layout is 1-2-1 which was excellent. Service was impeccable as expected with them. Had a choice to pre-order your preferred meal before take-off. Seat was comfortable and good entertainment on board. My only surprise was that guava juice was not available, something that was unexpected considering this is a very popular drink in Guadeloupe.",,Solo Leisure,Business Class,Paris Orly to Pointe-à-Pitre,March 2023,4,5,4,4,4,,4,yes
Air France,3,"""my advice is avoid Air France""",28th March 2023,TRUE,"  Avoid AF if at all possible. Arrogant & rude cabin crew and the worst food I’ve ever received in the class of flight. Starting point was the cabin wasn’t fully ready even when the aircraft doors were closed ready for push back. Finally offered a welcome drink and I requested a Perrier Water but it never arrived and was later informed that, on the French national carrier, there wasn’t any. Dinner arrived and was so poor in terms of quality that I opted for some packet biscuits & chocolate. Wouldn’t have said no to some crisps but guess what - there were none. Took for ever to get a cup of mint tea after the ‘dinner’ service as all bar one of the crew disappeared. The best that can be said about the breakfast meal is that at least the fruit was edible - just. At least the seat became a full flat bed but my advice is avoid Air France.",Boeing 787,Solo Leisure,Business Class,Bogota to Paris,March 2023,4,1,1,4,2,,2,no
Air France,1,"""staff are arrogant and unhelpful""",25th March 2023,FALSE,I booked 3 seats next to one another and then AF changed aircraft. They split us up and the website is useless - I couldn’t even pay to have us sitting together. The support told me to sort it out at the airport. What a joke - the staff are arrogant and unhelpful and all my planning went out the window. I would not recommend anyone to fly AF if this is the way they treat their paying customers. If there is an alternative - rather take it!,,Family Leisure,Economy Class,Paris to Johannesburg,March 2023,1,1,1,1,1,1,1,no
Air France,9,"""Pleasant crew""",24th March 2023,TRUE," Two short hops with this full service airline providing indeed full service during flights. Nice to see AF not only claims to be full service, but also commits to it. On both flights drink service with little snack/sandwich. Pleasant crew and easy transfer in terminal 2G at CDG.",E190/E190,Business,Economy Class,Lyon to Düsseldorf via Paris CDG,March 2023,5,5,5,4,,,5,yes
Air France,3,"""the crew was very friendly""",19th March 2023,TRUE,"  Disappointing flight. A very old Boeing 777, seat configuration 2-3-2 in Business. Champagne and wine were nothing special. Food was the worst I had on a flight, my beef was overdone,  vegetables tasteless and cheese had supermarket quality! We arrived punctually and the crew was very friendly.",Boeing 777-300,Solo Leisure,Business Class,Paris to Ho Chi Minh City,March 2023,4,5,1,5,3,,3,no
Air France,2,"""the slowest passport checks""",15th March 2023,TRUE,"  CDG terminal 2E, whilst spacious and clean, has a poor selection of food options, and expect to be subject to the slowest passport checks. Last call was announced before any passengers had boarded. The hidden queue had everyone standing in the air bridge for 45 minutes. Then once we finally all got seated we then sat on the gate for 1.5 hours to get an air traffic slot. No substance or apology.",A320,Business,Economy Class,Paris to London,March 2023,3,,,1,,,2,no
Air France,5,"""Disappointing experience""",8th March 2023,FALSE,Flew to San Jose Costa Rica via CDG. London flight departed late so made the connection through CDG challenging as had to go through security check again which was very slow. We went straight to gate and boarded the A350. Welcome on board drinks were offered before an on time departure. Menu with choices was offered - I was in row 7 and by time I was reached 2 out of 4 dishes were no longer available. Nice selection of wines. What surprised myself and my wife was the condition of the cabin - scratched surfaces and loose panels and poor for such a new aircraft. Pre landing meal offered to mewas nothing special. Wifi was not working and selection of films was limited.,A350-900,Couple Leisure,Business Class,London to San Jose via Paris,January 2023,4,2,3,2,3,,3,no
Air France,7,"""Very excellent cabin crew""",5th March 2023,FALSE,Very excellent cabin crew flight on time seats were comfortable. Food was good had gluten free chips which I was impressed about. WiFi was ok. Ground service was ok because the line to check-in was really long and they almost made us miss our flight but we went into a different line to prevent that.,,Family Leisure,Economy Class,Delhi to Los Angeles via Paris,December 2022,5,5,5,2,2,2,5,yes
Air France,9,"""Getting a refund was swift""",2nd March 2023,FALSE,"  I booked a last minute through Air France from Vancouver to Amsterdam via MSP. it was a last minute decision to take this vacation for a 5 day European getaway. While my flight got cancelled because of the snow storm in MSP, I really appreciated how proactive Air France/KLM was in cancelling the flight from MSP to AMS as the cancellation came 30 hours before the flight. Getting a refund was swift and the customer service agent on the phone was polite and a real pleasure to deal with.",,Solo Leisure,Economy Class,Vancouver to Amsterdam,February 2023,,,,,,,5,yes
Air France,1,"""cabin crew were absolutely excellent""",21st February 2023,TRUE,"  Boarding was done efficiently with Sky Priority/Business passengers allowed on first. It was a nearly-new A350 and looked immaculate. We were greeted by enthusiastic cabin crew and shown to our seats. I have always taken the view that there is always at least one thing wrong with any business seat but not on this occasion. It was extremely well designed with an excellent screen, solid table, privacy, ample storage spaces and the ability to locate switches and power points without searching too hard. We were offered a glass of champagne, juice or water before takeoff and given a very impressively comprehensive menu. I had pre-ordered the fish and it was incredibly tasty and excellently served by the cabin crew. I chose the delicious Chablis which seems to work well at altitude. It is an overnight flight and after the meal lights were dimmed. Although it was a flat bed seat I always believed that one sleeps better if it is at a slight angle – especially as aircraft never fly exactly horizontally. Despite only a blanket and pillow I had one of the most comfortable nights ever on an aircraft. I was awoken from breakfast and shown the omelette. This, I knew, never works that well but it was still tasty and accompanied by bread and fruit. Throughout the flight the cabin crew were absolutely excellent. Every request was answered and they were friendly, funny at times, very French (of course) and a credit to the airline. I have been flying regularly since I was four years old and this was easily one of my best experiences – well up to the standard pioneered by the Middle East airlines.",A350,Business,Business Class,Atlanta to Paris CDG,February 2023,5,5,5,5,5,5,5,yes
